,PA13:NO2,PA13:NO,PA13:NOX,PA13:O3,OBJECTID
,PARIS 13ème,PARIS 13ème,PARIS 13ème,PARIS 13ème,0
,PA13,PA13,PA13,PA13,1
,dioxyde d azote,monoxyde d azote,oxydes d azote,ozone,2
,NO2,NO,NOX,O3,3
,microg/m3,microg/m3,microg/m3,microg/m3,4
2024/01/01 01:00:00+00,8,0.5,8.9,58.9,5
2024/01/01 02:00:00+00,7.9,1,9.6,59.2,6
2024/01/01 03:00:00+00,8,0.8,9.3,58.9,7
2024/01/01 04:00:00+00,7.1,0.4,7.8,60,8
2024/01/01 05:00:00+00,7,0.1,7.2,61,9
2024/01/01 06:00:00+00,7.8,0.5,8.5,59.9,10
2024/01/01 07:00:00+00,9.5,0.6,10.4,56.9,11
2024/01/01 08:00:00+00,8.4,0.8,9.7,57.1,12
2024/01/01 09:00:00+00,7.6,0.6,8.6,57,13
2024/01/01 10:00:00+00,9.2,1.1,10.8,54,14
2024/01/01 11:00:00+00,10.3,1.4,12.4,52,15
2024/01/01 12:00:00+00,10.4,1.7,13,52.2,16
2024/01/01 13:00:00+00,7.9,2.2,11.3,55.6,17
2024/01/01 14:00:00+00,9.3,1.3,11.1,55.7,18
2024/01/01 15:00:00+00,10.1,1.6,12.7,55.8,19
2024/01/01 16:00:00+00,14.9,1.3,17,49.2,20
2024/01/01 17:00:00+00,24.1,1.1,25.9,38.8,21
2024/01/01 18:00:00+00,23.2,1.2,25,43.7,22
2024/01/01 19:00:00+00,18.1,1.3,20.1,51.2,23
2024/01/01 20:00:00+00,14.7,0.8,15.9,52.5,24
2024/01/01 21:00:00+00,12.2,0.6,13.2,53.3,25
2024/01/01 22:00:00+00,9.7,0.9,11.1,55.8,26
2024/01/01 23:00:00+00,7.6,0.2,7.8,57.3,27
2024/01/02 00:00:00+00,4.5,0.3,4.8,60.6,28
2024/01/02 01:00:00+00,3.6,0.3,4.1,62.2,29
2024/01/02 02:00:00+00,2.8,0.8,4.1,64.8,30
2024/01/02 03:00:00+00,2.5,0.7,3.5,65.6,31
2024/01/02 04:00:00+00,2.5,0.5,3.3,65.4,32
2024/01/02 05:00:00+00,4,0.9,5.3,63.6,33
2024/01/02 06:00:00+00,7.6,0.9,9.1,58.1,34
2024/01/02 07:00:00+00,10.1,0.8,11.3,51.5,35
2024/01/02 08:00:00+00,10.5,0.8,11.6,51.7,36
2024/01/02 09:00:00+00,11.3,1,13,50.6,37
2024/01/02 10:00:00+00,9.7,1.3,11.8,52.1,38
2024/01/02 11:00:00+00,11.1,0.9,12.5,51.1,39
2024/01/02 12:00:00+00,11.2,1.1,12.9,51.7,40
2024/01/02 13:00:00+00,11.2,1.1,13,52.8,41
2024/01/02 14:00:00+00,9.4,1.1,11.1,55.7,42
2024/01/02 15:00:00+00,8.7,1.3,10.7,57.5,43
2024/01/02 16:00:00+00,8.7,2.8,13,56.7,44
2024/01/02 17:00:00+00,10.3,0.9,11.7,54.6,45
2024/01/02 18:00:00+00,10.9,1,12.4,55.1,46
2024/01/02 19:00:00+00,11.8,1,13.5,57.4,47
2024/01/02 20:00:00+00,10.5,1,12.1,67.8,48
2024/01/02 21:00:00+00,10.7,0.7,11.7,65.2,49
2024/01/02 22:00:00+00,6.9,0.8,8.2,67.9,50
2024/01/02 23:00:00+00,5.7,0.5,6.5,69.6,51
2024/01/03 00:00:00+00,5.1,0.4,5.7,71.3,52
2024/01/03 01:00:00+00,4.2,0.1,4.3,72.2,53
2024/01/03 02:00:00+00,4,0.6,4.9,71.3,54
2024/01/03 03:00:00+00,4.3,0.3,4.7,69.9,55
2024/01/03 04:00:00+00,3.5,0.5,4.2,69.3,56
2024/01/03 05:00:00+00,5.8,0.5,6.6,67.2,57
2024/01/03 06:00:00+00,10.3,0.9,11.7,65.7,58
2024/01/03 07:00:00+00,13.6,0.7,14.7,60.5,59
2024/01/03 08:00:00+00,14.1,0.7,15.1,59.9,60
2024/01/03 09:00:00+00,31.8,4.3,38.4,42.7,61
2024/01/03 10:00:00+00,26,4.1,32.2,47.6,62
2024/01/03 11:00:00+00,13.1,2.1,16.5,61.3,63
2024/01/03 12:00:00+00,9.4,1.8,12.1,64.9,64
2024/01/03 13:00:00+00,10.3,1.1,12,64,65
2024/01/03 14:00:00+00,9.9,0.9,11.3,71.4,66
2024/01/03 15:00:00+00,10.2,0.7,11.4,68.8,67
2024/01/03 16:00:00+00,11.9,1.4,14.1,64.1,68
2024/01/03 17:00:00+00,13.4,0.6,14.3,60.4,69
2024/01/03 18:00:00+00,12.4,0.8,13.5,62.3,70
2024/01/03 19:00:00+00,13.7,1.2,15.5,61.2,71
2024/01/03 20:00:00+00,13.2,0.6,14.2,60.7,72
2024/01/03 21:00:00+00,9.7,0.3,10.2,66.4,73
2024/01/03 22:00:00+00,7,0.5,7.7,65.4,74
2024/01/03 23:00:00+00,5.5,-0.1,5.3,66.6,75
2024/01/04 00:00:00+00,6.7,0.8,7.8,64.5,76
2024/01/04 01:00:00+00,5.3,0.7,6.4,65.4,77
2024/01/04 02:00:00+00,4.6,0.6,5.5,66.8,78
2024/01/04 03:00:00+00,4.3,0.5,5.1,65.9,79
2024/01/04 04:00:00+00,5.3,0.5,6.1,65,80
2024/01/04 05:00:00+00,8.9,0.6,10,59.8,81
2024/01/04 06:00:00+00,17.2,0.9,18.4,50.3,82
2024/01/04 07:00:00+00,27.1,1.6,29.5,41,83
2024/01/04 08:00:00+00,31.8,1.7,34.4,35.7,84
2024/01/04 09:00:00+00,33.3,4.4,40,33.6,85
2024/01/04 10:00:00+00,35.9,6.9,46.6,32.8,86
2024/01/04 11:00:00+00,22.8,4,28.9,43.7,87
2024/01/04 12:00:00+00,20.5,2.9,24.9,44.1,88
2024/01/04 13:00:00+00,25,3.9,30.9,41.6,89
2024/01/04 14:00:00+00,28.9,4.4,35.7,42.5,90
2024/01/04 15:00:00+00,22.7,2.5,26.6,48.1,91
2024/01/04 16:00:00+00,25.5,1,27.2,44.6,92
2024/01/04 17:00:00+00,24.3,1.2,26.2,45.7,93
2024/01/04 18:00:00+00,25.6,1,27,45,94
2024/01/04 19:00:00+00,18.4,0.8,19.7,50.9,95
2024/01/04 20:00:00+00,13.2,0.8,14.4,57.3,96
2024/01/04 21:00:00+00,13.1,1,14.7,56,97
2024/01/04 22:00:00+00,9.5,0.4,10.1,58.9,98
2024/01/04 23:00:00+00,9.4,0.5,10.3,57.9,99
2024/01/05 00:00:00+00,8.4,0.4,9,60.4,100
2024/01/05 01:00:00+00,5.5,0.4,6.1,71.6,101
2024/01/05 02:00:00+00,4.1,-0.1,4.1,74.5,102
2024/01/05 03:00:00+00,4.7,0.3,5.2,73,103
2024/01/05 04:00:00+00,5.2,0.4,5.9,70.2,104
2024/01/05 05:00:00+00,7.4,1.1,9.1,68.1,105
2024/01/05 06:00:00+00,18.9,1.3,20.9,54.4,106
2024/01/05 07:00:00+00,29.2,1.9,32.1,42.4,107
2024/01/05 08:00:00+00,27.7,1.7,30.4,41.2,108
2024/01/05 09:00:00+00,24.6,2.8,28.9,42.6,109
2024/01/05 10:00:00+00,21.8,4,27.9,44.4,110
2024/01/05 11:00:00+00,18.2,4.1,24.5,49.2,111
2024/01/05 12:00:00+00,15.7,3.1,20.3,52.5,112
2024/01/05 13:00:00+00,12.5,2.6,16.5,57.3,113
2024/01/05 14:00:00+00,16.2,2.1,19.5,53.4,114
2024/01/05 15:00:00+00,12.1,1.2,14,55,115
2024/01/05 16:00:00+00,19,1,20.3,46.8,116
2024/01/05 17:00:00+00,34.4,0.9,35.8,32.8,117
2024/01/05 18:00:00+00,32.5,1.4,34.6,31.6,118
2024/01/05 19:00:00+00,40.9,1.7,43.4,23.2,119
2024/01/05 20:00:00+00,42.3,0.8,43.5,21.3,120
2024/01/05 21:00:00+00,26.1,1,27.6,34,121
2024/01/05 22:00:00+00,22.6,0.6,23.7,35.1,122
2024/01/05 23:00:00+00,20.6,0.6,21.5,37.9,123
2024/01/06 00:00:00+00,20,1.2,21.8,37.9,124
2024/01/06 01:00:00+00,19,0.5,19.7,34.9,125
2024/01/06 02:00:00+00,16.2,0.1,16.4,35.8,126
2024/01/06 03:00:00+00,16.2,0.7,17.3,32.4,127
2024/01/06 04:00:00+00,16.2,0.4,16.8,31.9,128
2024/01/06 05:00:00+00,15.9,0.2,16.2,30.4,129
2024/01/06 06:00:00+00,22.1,1.4,24.2,23,130
2024/01/06 07:00:00+00,22.6,1,24,24.9,131
2024/01/06 08:00:00+00,20.5,0.4,21.2,28.6,132
2024/01/06 09:00:00+00,21.3,1.6,23.7,28.9,133
2024/01/06 10:00:00+00,20.8,2.4,24.5,32.6,134
2024/01/06 11:00:00+00,18.9,2.7,22.9,36.8,135
2024/01/06 12:00:00+00,15.8,2.1,19.2,40.9,136
2024/01/06 13:00:00+00,13,1.5,15.4,45.4,137
2024/01/06 14:00:00+00,14.7,1.6,17.1,42.7,138
2024/01/06 15:00:00+00,16,1.1,17.7,41.8,139
2024/01/06 16:00:00+00,17.2,0.9,18.5,41.4,140
2024/01/06 17:00:00+00,18.5,0.5,19.2,39.9,141
2024/01/06 18:00:00+00,19,0.9,20.3,37.2,142
2024/01/06 19:00:00+00,21.9,1.2,23.8,32.9,143
2024/01/06 20:00:00+00,26.2,1.7,28.7,28,144
2024/01/06 21:00:00+00,24.4,1.1,26.1,30.8,145
2024/01/06 22:00:00+00,20.7,0.8,22,34.8,146
2024/01/06 23:00:00+00,15,0.7,16.1,41,147
2024/01/07 00:00:00+00,15.5,0.5,16.2,41.9,148
2024/01/07 01:00:00+00,15.7,0.7,16.9,41,149
2024/01/07 02:00:00+00,13.4,0.8,14.5,45.2,150
2024/01/07 03:00:00+00,13.6,0.9,15.1,47.4,151
2024/01/07 04:00:00+00,12,0.5,12.7,50.8,152
2024/01/07 05:00:00+00,14.3,0.2,14.7,49.1,153
2024/01/07 06:00:00+00,13.4,0,13.4,49,154
2024/01/07 07:00:00+00,16.5,1.1,18.3,44.3,155
2024/01/07 08:00:00+00,12.6,0.8,13.9,47.3,156
2024/01/07 09:00:00+00,8.7,0.6,9.7,51,157
2024/01/07 10:00:00+00,8.5,1.2,10.3,48.1,158
2024/01/07 11:00:00+00,9.5,0.9,11,43.6,159
2024/01/07 12:00:00+00,10.3,1.1,12.1,38.2,160
2024/01/07 13:00:00+00,12.9,2.1,16,30.6,161
2024/01/07 14:00:00+00,15.6,2,18.6,26.7,162
2024/01/07 15:00:00+00,15.4,1.4,17.6,24.5,163
2024/01/07 16:00:00+00,14.9,0.7,16,22.1,164
2024/01/07 17:00:00+00,16.5,1.1,18.3,19.4,165
2024/01/07 18:00:00+00,16.2,1.3,18.3,20.2,166
2024/01/07 19:00:00+00,17.6,1.3,19.5,18.7,167
2024/01/07 20:00:00+00,14.7,1.2,16.6,23.7,168
2024/01/07 21:00:00+00,12.4,0.3,12.9,30.7,169
2024/01/07 22:00:00+00,11.2,0.4,11.7,36.3,170
2024/01/07 23:00:00+00,8.3,0.6,9.2,50.3,171
2024/01/08 00:00:00+00,9.1,0.4,9.8,53.8,172
2024/01/08 01:00:00+00,6.4,0.7,7.5,59.2,173
2024/01/08 02:00:00+00,5.8,0.4,6.4,59.6,174
2024/01/08 03:00:00+00,4.7,0.7,5.8,67.1,175
2024/01/08 04:00:00+00,6.3,0.6,7.2,62.7,176
2024/01/08 05:00:00+00,6.9,0.7,8,59.4,177
2024/01/08 06:00:00+00,9.9,0.4,10.5,56.7,178
2024/01/08 07:00:00+00,17,5.3,25,52,179
2024/01/08 08:00:00+00,23.9,2.3,27.5,42.3,180
2024/01/08 09:00:00+00,24.5,2.8,28.9,41.2,181
2024/01/08 10:00:00+00,17.5,1.7,20.2,47.4,182
2024/01/08 11:00:00+00,23.3,2.4,27,42.9,183
2024/01/08 12:00:00+00,27.8,2.7,31.9,37,184
2024/01/08 13:00:00+00,23.2,2.9,27.7,40.3,185
2024/01/08 14:00:00+00,21.6,2.6,25.5,41.6,186
2024/01/08 15:00:00+00,20.9,3.4,26.1,40.4,187
2024/01/08 16:00:00+00,23.9,1.8,26.7,33.6,188
2024/01/08 17:00:00+00,24.5,0.9,25.9,29.7,189
2024/01/08 18:00:00+00,22.6,1.4,24.7,29.7,190
2024/01/08 19:00:00+00,21.4,1.4,23.5,29.3,191
2024/01/08 20:00:00+00,23.1,1,24.5,25.9,192
2024/01/08 21:00:00+00,21.9,1.1,23.5,23.9,193
2024/01/08 22:00:00+00,24.6,0.9,26,21.3,194
2024/01/08 23:00:00+00,23.1,1.2,24.9,22,195
2024/01/09 00:00:00+00,20.1,0.6,21.1,22.8,196
2024/01/09 01:00:00+00,20.2,0.7,21.2,24.8,197
2024/01/09 02:00:00+00,16,0.6,17,28.3,198
2024/01/09 03:00:00+00,13.1,0.7,14.2,29.4,199
2024/01/09 04:00:00+00,12.7,0.3,13.1,29.4,200
2024/01/09 05:00:00+00,12,0.6,12.9,28.3,201
2024/01/09 06:00:00+00,13.2,1,14.6,26.4,202
2024/01/09 07:00:00+00,15.3,0.9,16.5,23.9,203
2024/01/09 08:00:00+00,20.3,1.8,23.2,17.5,204
2024/01/09 09:00:00+00,20.3,2.3,23.9,16.5,205
2024/01/09 10:00:00+00,16.1,3.7,21.7,20.6,206
2024/01/09 11:00:00+00,14.7,3.6,20.4,23.7,207
2024/01/09 12:00:00+00,15.1,4.2,21.5,24,208
2024/01/09 13:00:00+00,13,3.6,18.6,28.5,209
2024/01/09 14:00:00+00,12.5,3.3,17.6,32,210
2024/01/09 15:00:00+00,16.3,5.3,23.3,28.3,211
2024/01/09 16:00:00+00,19.5,2.3,23,26.5,212
2024/01/09 17:00:00+00,19.9,1,21.3,26.1,213
2024/01/09 18:00:00+00,28.5,2.2,31.9,16.2,214
2024/01/09 19:00:00+00,26.9,1.8,29.8,16.9,215
2024/01/09 20:00:00+00,25.1,2.1,28.5,17.1,216
2024/01/09 21:00:00+00,20.5,1,22,20.2,217
2024/01/09 22:00:00+00,18.5,0.4,19.1,21.3,218
2024/01/09 23:00:00+00,17.4,0.8,18.6,21.7,219
2024/01/10 00:00:00+00,15.3,0.7,16.4,22.4,220
2024/01/10 01:00:00+00,15.4,0.5,16.1,21.4,221
2024/01/10 02:00:00+00,13.9,0.4,14.5,23.1,222
2024/01/10 03:00:00+00,14.1,0.6,14.9,22.4,223
2024/01/10 04:00:00+00,13.7,0.6,14.6,23.1,224
2024/01/10 05:00:00+00,13.9,0.8,15.1,23.3,225
2024/01/10 06:00:00+00,21.4,2.2,24.8,17.2,226
2024/01/10 07:00:00+00,20.7,2.3,24.4,17.9,227
2024/01/10 08:00:00+00,24.6,2.1,27.9,16.3,228
2024/01/10 09:00:00+00,26.6,2.2,30,16.1,229
2024/01/10 10:00:00+00,27.9,4.5,34.9,16.8,230
2024/01/10 11:00:00+00,24.4,5.9,33.5,21.7,231
2024/01/10 12:00:00+00,21.5,5.8,30.5,24.3,232
2024/01/10 13:00:00+00,19.6,6.9,30.2,25.9,233
2024/01/10 14:00:00+00,20.7,7.9,32.8,26.1,234
2024/01/10 15:00:00+00,25.6,9.2,39.8,23.1,235
2024/01/10 16:00:00+00,28.5,4,34.7,21.8,236
2024/01/10 17:00:00+00,32.4,2.7,36.5,16.1,237
2024/01/10 18:00:00+00,39.9,4.8,47.1,6.5,238
2024/01/10 19:00:00+00,44.3,11,61.1,2.5,239
2024/01/10 20:00:00+00,40.6,6,49.8,3.7,240
2024/01/10 21:00:00+00,39,4.8,46.5,4.2,241
2024/01/10 22:00:00+00,36.1,3.7,41.8,4.9,242
2024/01/10 23:00:00+00,35.2,4.4,41.9,4.6,243
2024/01/11 00:00:00+00,34.9,4.3,41.5,4.5,244
2024/01/11 01:00:00+00,35.5,4.2,41.9,3.1,245
2024/01/11 02:00:00+00,33,4.1,39.3,4.2,246
2024/01/11 03:00:00+00,32.8,4.2,39.2,3.4,247
2024/01/11 04:00:00+00,32,3.1,36.9,3.9,248
2024/01/11 05:00:00+00,32.4,4.1,38.8,3.1,249
2024/01/11 06:00:00+00,33.4,5.8,42.3,2.4,250
2024/01/11 07:00:00+00,38.8,15.2,62.2,0.6,251
2024/01/11 08:00:00+00,40.1,20.3,71.3,0.7,252
2024/01/11 09:00:00+00,39.1,25.5,78.3,2.9,253
2024/01/11 10:00:00+00,40.1,29.8,85.7,7.7,254
2024/01/11 11:00:00+00,33.7,23.8,70.3,14.2,255
2024/01/11 12:00:00+00,31.9,19.9,62.3,17.4,256
2024/01/11 13:00:00+00,34.5,20.9,66.5,18.1,257
2024/01/11 14:00:00+00,35.7,17.2,62.2,19,258
2024/01/11 15:00:00+00,,,,,259
2024/01/11 16:00:00+00,43.6,10,58.8,,260
2024/01/11 17:00:00+00,49.7,6.5,59.8,7.2,261
2024/01/11 18:00:00+00,56.6,9.8,71.5,1.5,262
2024/01/11 19:00:00+00,56.4,9.2,70.5,1.8,263
2024/01/11 20:00:00+00,54.1,7.1,65,3.3,264
2024/01/11 21:00:00+00,51.3,5.6,59.8,3.9,265
2024/01/11 22:00:00+00,51.6,5,59.3,3.4,266
2024/01/11 23:00:00+00,47.7,2.9,52.1,8.9,267
2024/01/12 00:00:00+00,35,0.8,36.2,25.8,268
2024/01/12 01:00:00+00,20.7,0.8,22,44.3,269
2024/01/12 02:00:00+00,20.3,0.8,21.6,43,270
2024/01/12 03:00:00+00,17.8,0.6,18.7,42.6,271
2024/01/12 04:00:00+00,18.3,0.5,19.2,38.9,272
2024/01/12 05:00:00+00,20.1,0.5,20.9,34.2,273
2024/01/12 06:00:00+00,24.7,1.1,26.4,31,274
2024/01/12 07:00:00+00,34.4,1.3,36.3,26.9,275
2024/01/12 08:00:00+00,39,2.3,42.5,23,276
2024/01/12 09:00:00+00,36.4,2.2,39.8,26.6,277
2024/01/12 10:00:00+00,24.4,1.3,26.5,38.4,278
2024/01/12 11:00:00+00,21,2,24.2,41.1,279
2024/01/12 12:00:00+00,22.4,2.4,26.1,42,280
2024/01/12 13:00:00+00,24.5,3.7,30.1,44.9,281
2024/01/12 14:00:00+00,22.8,4.4,29.5,44.2,282
2024/01/12 15:00:00+00,26.2,2.3,29.7,40.5,283
2024/01/12 16:00:00+00,30,1.9,33,33.5,284
2024/01/12 17:00:00+00,28.4,0.9,29.9,33.3,285
2024/01/12 18:00:00+00,27.2,1.2,29,31.9,286
2024/01/12 19:00:00+00,29,1.5,31.3,29.9,287
2024/01/12 20:00:00+00,26.3,1.1,28,30.1,288
2024/01/12 21:00:00+00,24,1.3,26,29.2,289
2024/01/12 22:00:00+00,21.4,0.9,22.9,30.6,290
2024/01/12 23:00:00+00,17.9,0.5,18.6,34,291
2024/01/13 00:00:00+00,16.2,1,17.7,33.3,292
2024/01/13 01:00:00+00,14.9,0.5,15.7,31.4,293
2024/01/13 02:00:00+00,17.2,0.8,18.4,27.4,294
2024/01/13 03:00:00+00,15.1,0.6,16.1,29.5,295
2024/01/13 04:00:00+00,17,0.7,18.1,28.5,296
2024/01/13 05:00:00+00,17,0.8,18.2,27.3,297
2024/01/13 06:00:00+00,18.8,0.9,20.1,25.6,298
2024/01/13 07:00:00+00,22.7,0.9,24,20.4,299
2024/01/13 08:00:00+00,24.1,0.5,24.9,20.7,300
2024/01/13 09:00:00+00,27.5,1.9,30.5,18.2,301
2024/01/13 10:00:00+00,27.3,3.2,32.3,18.8,302
2024/01/13 11:00:00+00,26.1,3.7,31.7,20.2,303
2024/01/13 12:00:00+00,27.5,5.3,35.6,20.4,304
2024/01/13 13:00:00+00,23.3,3.8,29.2,26,305
2024/01/13 14:00:00+00,29.1,5,36.8,22.5,306
2024/01/13 15:00:00+00,35,6.1,44.3,16.7,307
2024/01/13 16:00:00+00,39.9,5.3,48,11.9,308
2024/01/13 17:00:00+00,44.1,3.9,50.1,7.7,309
2024/01/13 18:00:00+00,51.1,6.9,61.7,1.7,310
2024/01/13 19:00:00+00,55.8,15.3,79.3,0.1,311
2024/01/13 20:00:00+00,55.7,14.6,78,0.3,312
2024/01/13 21:00:00+00,52,8,64.3,0.8,313
2024/01/13 22:00:00+00,44.2,3.8,50.1,4.9,314
2024/01/13 23:00:00+00,41.4,1.8,44.2,5.7,315
2024/01/14 00:00:00+00,38.7,1.9,41.6,7.7,316
2024/01/14 01:00:00+00,33.9,1.2,35.7,11.9,317
2024/01/14 02:00:00+00,22.8,0.5,23.6,22,318
2024/01/14 03:00:00+00,14.6,1,16.1,30.9,319
2024/01/14 04:00:00+00,16.4,1.2,18.3,27.9,320
2024/01/14 05:00:00+00,20.2,0.9,21.6,24,321
2024/01/14 06:00:00+00,24.5,1.5,26.8,20.3,322
2024/01/14 07:00:00+00,29,0.6,30,16.8,323
2024/01/14 08:00:00+00,34,1.3,36,13,324
2024/01/14 09:00:00+00,32.3,2.4,35.9,13.9,325
