,PA13:NO2,PA13:NO,PA13:NOX,PA13:O3,OBJECTID
2024/01/14 10:00:00+00,28.3,3.8,34.1,16.9,326
2024/01/14 11:00:00+00,33.9,8.2,46.6,15,327
2024/01/14 12:00:00+00,34.7,10.2,50.2,16.2,328
2024/01/14 13:00:00+00,31,10.6,47.4,21.3,329
2024/01/14 14:00:00+00,28.8,8,41.1,24.2,330
2024/01/14 15:00:00+00,30.2,6.9,40.8,23.4,331
2024/01/14 16:00:00+00,28.9,4,35.1,23.4,332
2024/01/14 17:00:00+00,28.5,3.5,33.8,21.8,333
2024/01/14 18:00:00+00,32,3.1,36.8,18.2,334
2024/01/14 19:00:00+00,28.1,2.5,31.9,21.3,335
2024/01/14 20:00:00+00,26.7,2.3,30.3,21.8,336
2024/01/14 21:00:00+00,30.9,2.7,35.2,19.6,337
2024/01/14 22:00:00+00,33.6,3.1,38.3,13.6,338
2024/01/14 23:00:00+00,31.8,3.2,36.6,12.3,339
2024/01/15 00:00:00+00,31.4,3.4,36.6,11,340
2024/01/15 01:00:00+00,29.6,3.5,35,11.4,341
2024/01/15 02:00:00+00,23.6,1.9,26.6,15.1,342
2024/01/15 03:00:00+00,19.9,2.1,23.2,19.1,343
2024/01/15 04:00:00+00,22.7,1.9,25.6,15,344
2024/01/15 05:00:00+00,23.4,1.7,26,21.5,345
2024/01/15 06:00:00+00,36.9,7.9,49,9.2,346
2024/01/15 07:00:00+00,47.6,11,64.4,4.5,347
2024/01/15 08:00:00+00,44.3,6.5,54.3,6.3,348
2024/01/15 09:00:00+00,39.5,5.7,48.3,11.5,349
2024/01/15 10:00:00+00,29.8,4.6,36.8,26.5,350
2024/01/15 11:00:00+00,23.8,5.4,32,41.7,351
2024/01/15 12:00:00+00,18.1,3.7,23.8,53.3,352
2024/01/15 13:00:00+00,14.5,2.7,18.7,59,353
2024/01/15 14:00:00+00,12.5,2.6,16.4,60.8,354
2024/01/15 15:00:00+00,15.4,2.1,18.7,57.3,355
2024/01/15 16:00:00+00,17.1,1,18.7,57.3,356
2024/01/15 17:00:00+00,21.2,0.8,22.5,51.5,357
2024/01/15 18:00:00+00,29.6,1,31.2,43.3,358
2024/01/15 19:00:00+00,33.8,0.8,35.1,39.9,359
2024/01/15 20:00:00+00,35,0.8,36.3,36.4,360
2024/01/15 21:00:00+00,37.5,0.7,38.7,34.8,361
2024/01/15 22:00:00+00,40.1,0.9,41.7,30.5,362
2024/01/15 23:00:00+00,45,8.2,57.5,26.6,363
2024/01/16 00:00:00+00,71.3,74.4,185.5,2.5,364
2024/01/16 01:00:00+00,69,45.7,139.1,0.8,365
2024/01/16 02:00:00+00,70.9,69,176.7,0.6,366
2024/01/16 03:00:00+00,67.4,75.6,183.2,0.5,367
2024/01/16 04:00:00+00,66.3,94.1,210.6,0.5,368
2024/01/16 05:00:00+00,65.6,79.2,187,0.2,369
2024/01/16 06:00:00+00,68.1,121.6,254.5,0.5,370
2024/01/16 07:00:00+00,69.6,139.4,283.3,0.4,371
2024/01/16 08:00:00+00,73.9,192.8,369.5,0.5,372
2024/01/16 09:00:00+00,82.6,229.6,434.6,0.8,373
2024/01/16 10:00:00+00,83.5,179.8,359,2.7,374
2024/01/16 11:00:00+00,74.1,70.4,181.9,8.3,375
2024/01/16 12:00:00+00,79.1,71,188,11.3,376
2024/01/16 13:00:00+00,59.9,27.2,101.6,24.7,377
2024/01/16 14:00:00+00,50.3,15,73.3,32,378
2024/01/16 15:00:00+00,40.3,7.1,51.2,39.2,379
2024/01/16 16:00:00+00,44.3,4.2,50.7,33.8,380
2024/01/16 17:00:00+00,40.2,1.4,42.5,35.8,381
2024/01/16 18:00:00+00,52.4,2.2,55.8,20.5,382
2024/01/16 19:00:00+00,57.9,4.3,64.5,13.9,383
2024/01/16 20:00:00+00,52.4,3.2,57.4,14.1,384
2024/01/16 21:00:00+00,30.8,1.3,32.8,34.8,385
2024/01/16 22:00:00+00,25.1,1,26.8,35.4,386
2024/01/16 23:00:00+00,25.7,1.2,27.6,30,387
2024/01/17 00:00:00+00,19,1.1,20.9,31.6,388
2024/01/17 01:00:00+00,19.8,0.9,21.2,27.8,389
2024/01/17 02:00:00+00,16.1,1.1,17.8,26.5,390
2024/01/17 03:00:00+00,23.9,0.8,25.1,18.4,391
2024/01/17 04:00:00+00,25.4,1.2,27.2,14.5,392
2024/01/17 05:00:00+00,25.8,1.5,28.2,13.5,393
2024/01/17 06:00:00+00,32.2,4.9,39.7,7,394
2024/01/17 07:00:00+00,38.2,9.2,52.2,2.4,395
2024/01/17 08:00:00+00,40.5,13.5,61.2,0.6,396
2024/01/17 09:00:00+00,40.4,19.3,70,0.6,397
2024/01/17 10:00:00+00,40.4,21.3,72.9,1.1,398
2024/01/17 11:00:00+00,41.5,30.8,88.6,0.9,399
2024/01/17 12:00:00+00,43.1,51.1,121.4,0.6,400
2024/01/17 13:00:00+00,44.3,75.2,159.7,0.4,401
2024/01/17 14:00:00+00,45.1,70.1,152.7,0.4,402
2024/01/17 15:00:00+00,41.5,48.8,116.3,0.4,403
2024/01/17 16:00:00+00,42.9,48.6,117.2,0.1,404
2024/01/17 17:00:00+00,41.7,14.9,64.5,1.1,405
2024/01/17 18:00:00+00,37.3,5.5,45.8,4.2,406
2024/01/17 19:00:00+00,35.9,3.5,41.2,9.2,407
2024/01/17 20:00:00+00,33.5,2.3,37.1,18.8,408
2024/01/17 21:00:00+00,30.8,1.3,32.8,25.1,409
2024/01/17 22:00:00+00,30.7,0.8,32,29.1,410
2024/01/17 23:00:00+00,32.6,1,34.1,29.1,411
2024/01/18 00:00:00+00,26.8,0.6,27.7,36.6,412
2024/01/18 01:00:00+00,18.5,0.7,19.6,48.8,413
2024/01/18 02:00:00+00,14.9,0.5,15.6,54.9,414
2024/01/18 03:00:00+00,12.5,0.6,13.5,57.3,415
2024/01/18 04:00:00+00,10.6,0.5,11.3,61.3,416
2024/01/18 05:00:00+00,9.9,0.7,10.9,63,417
2024/01/18 06:00:00+00,14.2,0.8,15.3,56,418
2024/01/18 07:00:00+00,22.7,1.7,25.3,41.2,419
2024/01/18 08:00:00+00,32.1,3.1,36.8,30.5,420
2024/01/18 09:00:00+00,38.5,6.2,48.1,22.6,421
2024/01/18 10:00:00+00,36.8,10.6,53.1,25.2,422
2024/01/18 11:00:00+00,36.6,14.6,58.9,29.4,423
2024/01/18 12:00:00+00,36,12.8,55.7,32.7,424
2024/01/18 13:00:00+00,38.1,11,55,33.4,425
2024/01/18 14:00:00+00,33.1,8.6,46.2,40.2,426
2024/01/18 15:00:00+00,29.4,4.9,36.9,43.1,427
2024/01/18 16:00:00+00,29,3,33.5,43,428
2024/01/18 17:00:00+00,24.8,1.1,26.5,46.2,429
2024/01/18 18:00:00+00,33.6,1.2,35.4,35.2,430
2024/01/18 19:00:00+00,36.8,1.3,38.8,30.6,431
2024/01/18 20:00:00+00,35.6,1,37.2,31.8,432
2024/01/18 21:00:00+00,44,1.3,46,22,433
